UniProt_ID	Family	Protein_Name	Organism	EC#	Regio	Ligandkategori_EC	Oligo_active	Oligo_active_classes
A0A0S2GKZ1	AA9	AA9 family lytic polysaccharide monooxygenase A	Panus similis	1.14.99.54; 1.14.99.56	C1+C4	cellulose	Ja	cello_oligosaccharide; xylo_oligosaccharide
A0A223GEC9	AA9	AA9 family lytic polysaccharide monooxygenase A	Collariella virescens	1.14.99.54; 1.14.99.56	C1+C4	cellulose	Ja	cello_oligosaccharide
B2ADG1	AA9	AA9 family lytic polysaccharide monooxygenase H	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54; 1.14.99.56	C1+C4	cellulose	Ja	cello_oligosaccharide
G2Q7A5	AA9	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.56	C4	cellulose	Ja	cello_oligosaccharide
Q7SHI8	AA9	AA9 family lytic polysaccharide monooxygenase C	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.56	C4	cellulose	Ja	cello_oligosaccharide
Q2SNS3	AA10	Unknown	Hahella chejuensis (strain KCTC 2396)	1.14.99.54	C1	cellulose	Ja	cello_oligosaccharide
B6EQJ6	AA10	Unknown	Aliivibrio salmonicida (strain LFI1238)	1.14.99.53	C1	chitin	Nei	
D5UGA8	AA10	Unknown	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	1.14.99.54; 1.14.99.56	C1+C4	cellulose	Nei	
D6Y7U3	AA10	Unknown	Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51)	1.14.99.54; 1.14.99.56	C1+C4	cellulose	Nei	
B0XZD3	AA11	AA11 family lytic polysaccharide monooxygenase A	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	1.14.99.53	C1	chitin	Nei	
Q5B1W7	AA13	AA13 family lytic polysaccharide monooxygenase aasA	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	1.14.99.55	C1	starch	Nei	
A0A7H8R162	AA14	AA14 family lytic polysaccharide monooxygenase A	Talaromyces rugulosus	1.14.99.54	C1	cellulose	Nei	
A0A2N8U5K6	AA15	Unknown	Thermobia domestica	1.14.99.53; 1.14.99.54	C1	chitin+cellulose	Nei	
