case_id,protein_id,ligand_id,ligand_ccd_code,model,msa_source,msa_path,status,error_message
91a280961f2e,P9WEM3,L001,STA4,af3,native,,pending,
ccd682a73f26,P9WEM3,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
0ad25524ace3,P9WEM3,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
6869f6c7dbf6,P9WEM3,L002,STA6,af3,native,,pending,
0578b3ad4c94,P9WEM3,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
d48b4a37fae3,P9WEM3,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
2a10d10e3acb,P9WEM3,L003,STA8,af3,native,,pending,
b9a3dbb034bd,P9WEM3,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
13d02907ac2a,P9WEM3,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
69fb8c5e47de,P9WEM3,L004,CEL4,af3,native,,pending,
d0c606be1871,P9WEM3,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
543cc0279d6e,P9WEM3,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
adffcefc9965,P9WEM3,L005,CEL6,af3,native,,pending,
aba5c56bb788,P9WEM3,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
81ca9a84b19e,P9WEM3,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
f0a86e1d68f0,P9WEM3,L006,CEL8,af3,native,,pending,
4193aa892de1,P9WEM3,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
03607073cec1,P9WEM3,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
4aae91d93519,P9WEM3,L007,NAG4,af3,native,,pending,
1b159e8012db,P9WEM3,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
2b3345d6f5b7,P9WEM3,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
ef045baa9bf2,P9WEM3,L008,NAG6,af3,native,,pending,
cddf7a505cb6,P9WEM3,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
94f7ac9c34f7,P9WEM3,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
e4fc505bb0bd,P9WEM3,L009,NAG8,af3,native,,pending,
2ea56db0d67e,P9WEM3,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
cd052c5ba366,P9WEM3,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
6f0e143f88f9,A3KKC4,L001,STA4,af3,native,,pending,
524b591c85ac,A3KKC4,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
cd442107d58e,A3KKC4,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
a8f6e73ce759,A3KKC4,L002,STA6,af3,native,,pending,
c2e0e49fdddf,A3KKC4,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
8109f6ff8f81,A3KKC4,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
65677ea7b1c7,A3KKC4,L003,STA8,af3,native,,pending,
022ac21b2c9e,A3KKC4,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
56db629da0dc,A3KKC4,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
93581c9473f9,A3KKC4,L004,CEL4,af3,native,,pending,
cc7c6b2a0a4c,A3KKC4,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
51539d9f0c50,A3KKC4,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
85f51e60d881,A3KKC4,L005,CEL6,af3,native,,pending,
abf7306e3dfb,A3KKC4,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
034a69391c05,A3KKC4,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
3535c7c1081a,A3KKC4,L006,CEL8,af3,native,,pending,
101c70e3a388,A3KKC4,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
df38d6c67084,A3KKC4,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
7d4f965b797a,A3KKC4,L007,NAG4,af3,native,,pending,
0c3e096fb669,A3KKC4,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
0c6049daeabe,A3KKC4,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
1c7c81b5248c,A3KKC4,L008,NAG6,af3,native,,pending,
6641db4c0178,A3KKC4,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
51ed01e64b6c,A3KKC4,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
58be78d40627,A3KKC4,L009,NAG8,af3,native,,pending,
ef63343f646d,A3KKC4,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
3200ce124b2c,A3KKC4,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
5992f9cd3d59,A3KIM2,L001,STA4,af3,native,,pending,
92372c31ad9e,A3KIM2,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
5f8e6ce2b354,A3KIM2,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
30a01f31f663,A3KIM2,L002,STA6,af3,native,,pending,
9ed4c46f8c01,A3KIM2,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
7b4570b30ad3,A3KIM2,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
0755c38c4bed,A3KIM2,L003,STA8,af3,native,,pending,
9640b124eda3,A3KIM2,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
7ab72b7d12bc,A3KIM2,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
0bc4eeb1aa19,A3KIM2,L004,CEL4,af3,native,,pending,
f591741d7b0e,A3KIM2,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
8ce934139e03,A3KIM2,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
2a831ee5c8ac,A3KIM2,L005,CEL6,af3,native,,pending,
00c005199290,A3KIM2,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
804240128f4d,A3KIM2,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
f9e041d63176,A3KIM2,L006,CEL8,af3,native,,pending,
0c447ae69f4f,A3KIM2,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
c988fda4b140,A3KIM2,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
5e6947887e63,A3KIM2,L007,NAG4,af3,native,,pending,
fda817cf598a,A3KIM2,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
34dc3cfa1ff4,A3KIM2,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
ba6c15bee622,A3KIM2,L008,NAG6,af3,native,,pending,
67068a4d7cde,A3KIM2,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
4b2ca22b81ff,A3KIM2,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
8ac75569feea,A3KIM2,L009,NAG8,af3,native,,pending,
b54c614cbe09,A3KIM2,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
6d8c0a6c90af,A3KIM2,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
88f34d13201a,Q838S1,L001,STA4,af3,native,,pending,
0926e725475a,Q838S1,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
4d1e7bc859d4,Q838S1,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
7585977f58f0,Q838S1,L002,STA6,af3,native,,pending,
eca184d98190,Q838S1,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
9ecd0efae601,Q838S1,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
f356c52cb2c7,Q838S1,L003,STA8,af3,native,,pending,
5f95819c8886,Q838S1,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
632c1e646786,Q838S1,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
a3d4e17d0def,Q838S1,L004,CEL4,af3,native,,pending,
ad5ff802d5e1,Q838S1,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
3de084337274,Q838S1,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
a444dc654835,Q838S1,L005,CEL6,af3,native,,pending,
0b223e88d52e,Q838S1,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
184d03a408cf,Q838S1,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
a9f759c87b22,Q838S1,L006,CEL8,af3,native,,pending,
9da1c83d7685,Q838S1,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
67f311bc7002,Q838S1,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
c1a43e698ac0,Q838S1,L007,NAG4,af3,native,,pending,
a38751d8601d,Q838S1,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
4e2b08d0b641,Q838S1,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
ad54b4817171,Q838S1,L008,NAG6,af3,native,,pending,
c52a8a8192cb,Q838S1,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
25b9aea3c5dd,Q838S1,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
b491f7d5f0eb,Q838S1,L009,NAG8,af3,native,,pending,
ceda02ff6a34,Q838S1,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
e6ca6527e37e,Q838S1,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
cd5e2c7f97ff,Q9I589,L001,STA4,af3,native,,pending,
6ff89c3d4cb6,Q9I589,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
e51ee5bc36d4,Q9I589,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
ebea33f2b3ec,Q9I589,L002,STA6,af3,native,,pending,
52fcda802333,Q9I589,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
aa0787e51c09,Q9I589,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
d46a3c80ce54,Q9I589,L003,STA8,af3,native,,pending,
4bd85bd6ce61,Q9I589,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
8a9b11154567,Q9I589,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
183e1db90eb1,Q9I589,L004,CEL4,af3,native,,pending,
e02a4a1d7024,Q9I589,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
61000a0f4948,Q9I589,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
56b5bc30c23e,Q9I589,L005,CEL6,af3,native,,pending,
74f7587fd6fb,Q9I589,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
37bb8d274d26,Q9I589,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
beaaf8d3ef3b,Q9I589,L006,CEL8,af3,native,,pending,
675b141d7823,Q9I589,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
325035ba3750,Q9I589,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
c49585eba088,Q9I589,L007,NAG4,af3,native,,pending,
f1f7a18c2b7f,Q9I589,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
178d2b83e3c4,Q9I589,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
e4f5a7cae2a9,Q9I589,L008,NAG6,af3,native,,pending,
f941a8025b1f,Q9I589,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
9315d542dd70,Q9I589,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
44cc12e70fb8,Q9I589,L009,NAG8,af3,native,,pending,
3e7fde899c19,Q9I589,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
c9fd77ef5083,Q9I589,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
eb53913a2960,A7N3J0,L001,STA4,af3,native,,pending,
de477472633f,A7N3J0,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
0ef481bb3983,A7N3J0,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
91e77d14fdae,A7N3J0,L002,STA6,af3,native,,pending,
d32fed203c26,A7N3J0,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
450099aa7364,A7N3J0,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
d7cee62972b6,A7N3J0,L003,STA8,af3,native,,pending,
0329eb07cfab,A7N3J0,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
c61bd70120eb,A7N3J0,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
e5c03ab56055,A7N3J0,L004,CEL4,af3,native,,pending,
83505dd17ebd,A7N3J0,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
a5c6aebefabd,A7N3J0,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
2bb23a18a968,A7N3J0,L005,CEL6,af3,native,,pending,
e5305aad1042,A7N3J0,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
ec8215d473aa,A7N3J0,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
402bef6fd3b0,A7N3J0,L006,CEL8,af3,native,,pending,
3a2b7e4de587,A7N3J0,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
ed66c5b9e379,A7N3J0,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
