UniProt_ID	CAZy_family	Cat_Group_Accessions_Used	PDB_Before_AF3_Cutoff_Count	PDB_IDs_Before_AF3_Cutoff
P9WEM3	AA10	P9WEM3;O83009	3	2BEM;2BEN;2LHS
O83009	AA10	P9WEM3	3	2BEM;2BEN;2LHS
A3KKC4	AA10	A3KKC4	0	
A3KIM2	AA10	A3KIM2	0	
Q838S1	AA10	Q838S1	7	4A02;4ALC;4ALE;4ALQ;4ALR;4ALS;4ALT
Q9I589	AA10	Q9I589;Q02I11	0	
Q02I11	AA10	Q9I589	0	
A7N3J0	AA10	A7N3J0	0	
B6EQB6	AA10	B6EQB6	0	
A0A7D5JVI4	AA10	A0A7D5JVI4	0	
C7R4I0	AA10	C7R4I0	3	5AA7;5VG0;5VG1
Q9RFX5	AA10	Q9RFX5	0	
B3PDT6	AA10	B3PDT6	0	
A0A0A1ED04	AA10	A0A0A1ED04	0	
A0A9P1NI18	AA10	A0A9P1NI18;Q9F9Q5	4	2YOW;2YOX;2YOY;5IJU
B1VN59	AA10	B1VN59	0	
B6EQJ6	AA10	B6EQJ6	0	
C5BKQ9	AA10	C5BKQ9	1	6RW7
Q2SNS3	AA10	Q2SNS3	0	
Q47QG3	AA10	Q47QG3	2	4GBO;5UIZ
D0EW65	AA10	D0EW65	0	
D5UGA8	AA10	D5UGA8	0	
Q62YN7	AA10	Q62YN7;D0EW67	0	
Q9RJC1	AA10	Q9RJC1	2	4OY6;4OY8
D5UGB1	AA10	D5UGB1	0	
D5UHY1	AA10	D5UHY1	0	
F4H6A3	AA10	F4H6A3	0	
Q7N4I5	AA10	Q7N4I5	1	6T5Z
Q8Y4H4	AA10	Q8Y4H4	0	
Q9RJY2	AA10	Q9RJY2	1	4OY7
Q9S296	AA10	Q9S296	0	
A0A0C5K362	AA10	A0A0C5K362;Q81CE4	1	5WSZ
A0A7U9DRA2	AA10	A0A7U9DRA2;Q9RDB8	1	5FTZ
A0A8D3WFW9	AA10	A0A8D3WFW9	0	
B1VNK5	AA10	B1VNK5	0	
D0EW67	AA10	Q62YN7	0	
D5UH31	AA10	D5UH31	0	
Q47PB9	AA10	Q47PB9	0	
Q59930	AA10	Q59930	0	
B1J2U9	AA10	B1J2U9	0	
B3PJ79	AA10	B3PJ79	1	5FJQ
D6Y7U3	AA10	D6Y7U3	0	
A0A0D1CHL0	AA10	A0A0D1CHL0	0	
Q9KLD5	AA10	Q9KLD5;A9Y370;A6XA54	1	2XWX
A9Y370	AA10	Q9KLD5;A6XA54	1	2XWX
A6XA54	AA10	Q9KLD5;A9Y370	1	2XWX
O70709	AA10	O70709	1	4YN1
A0A8K1XN59	AA10	A0A8K1XN59	0	
W5QLL4	AA10	W5QLL4	1	6IF7
Q2UA85	AA11	Q2UA85	2	4MAH;4MAI
B0XZD3	AA11	B0XZD3	0	
Q0CGA6	AA13	Q0CGA6	0	
Q5B1W7	AA13	Q5B1W7	0	
Q2U8Y3	AA13	Q2U8Y3	8	4OPB;5LSV;5T7J;5T7K;5T7N;6TBQ;6TBR;6TC4
Q7SCE9	AA13	Q7SCE9	0	
A0A4Z1IKG2	AA13	A0A4Z1IKG2	0	
A0A1G4BH63	AA13	A0A1G4BH63	0	
A0AAN4PGW3	AA13	A0AAN4PGW3	0	
C7Z3N0	AA13	C7Z3N0	0	
G2QP40	AA13	G2QP40	0	
Q6MWQ3	AA13	Q6MWQ3	0	
A0A2I6QB00	AA14	A0A2I6QB00	1	5NO7
A0A2I6QAZ5	AA14	A0A2I6QAZ5	0	
A0A7H8R162	AA14	A0A7H8R162	0	
A0A2N8U5K6	AA15	A0A2N8U5K6;A0A2R2JFH0	1	5MSZ
