UniProt_ID	CAZy_family	InterPro_IDs	Protein_Name	Organism	EC_Number	Signal_End	Transmembrane_Regions	LPMO_Core_Start	LPMO_Core_End	Domain_Provenance	Binding_Modules	H1_Verified	H1_AminoAcid	Match_Status	Sequence_Group	CoAccessions	Cat_Seq_Group	Cat_CoAccessions
P9WEM3	AA10	IPR004302; IPR014756; IPR051024; PF03067	AA10 family lytic polysaccharide monooxygenase CBP21	Serratia marcescens	1.14.99.53	27	None	28	193	PFAM:PF03067	None	True	H	Success_Characterized	P9WEM3	O83009	P9WEM3	O83009
O83009	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Serratia marcescens	1.14.99.53	27	None	28	193	PFAM:PF03067	None	True	H	Success_Characterized	P9WEM3	P9WEM3	P9WEM3	P9WEM3
A3KKC4	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067	Lytic cellulose monooxygenase	Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516)	1.14.99.54	34	None	35	225	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (265-352)	True	H	Success_Characterized	A3KKC4		A3KKC4	
A3KIM2	AA10	IPR004302; IPR014756; IPR051024; PF03067	Lytic chitin monooxygenase	Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516)	1.14.99.53	30	None	31	168	PFAM:PF03067	None	True	H	Success_Characterized	A3KIM2		A3KIM2	
Q838S1	AA10	IPR004302; IPR014756; IPR051024; PF03067	Lytic chitin monooxygenase	Enterococcus faecalis (strain ATCC 700802 / V583)	1.14.99.53	28	None	29	191	PFAM:PF03067	None	True	H	Success_Characterized	Q838S1		Q838S1	
Q9I589	AA10	IPR004302; IPR014756; IPR041029; IPR051024; PF03067; PF18416	Chitin-binding protein CbpD	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	1.14.99.53	25	None	26	207	PFAM:PF03067	None	True	H	Success_Characterized	Q9I589		Q9I589	Q02I11
Q02I11	AA10	IPR004302; IPR014756; IPR041029; IPR051024; PF03067; PF18416	Chitin-binding protein CbpD	Pseudomonas aeruginosa (strain UCBPP-PA14)	1.14.99.53	25	None	26	207	PFAM:PF03067	None	True	H	Success_Characterized	Q02I11		Q9I589	Q9I589
A7N3J0	AA10	IPR004302; IPR014756; IPR020879; IPR041029; IPR051024; IPR054063; PF03067; PF18416; PF21868	GlcNAc-binding protein A	Vibrio campbellii (strain ATCC BAA-1116)	1.14.99.53	23	None	24	199	PFAM:PF03067	None	False	Y	Success_Characterized	A7N3J0		A7N3J0	
B6EQB6	AA10	IPR004302; IPR014756; IPR020879; IPR041029; IPR051024; IPR054063; PF03067; PF18416; PF21868	GlcNAc-binding protein A	Aliivibrio salmonicida (strain LFI1238)	1.14.99.53	24	None	25	203	PFAM:PF03067	None	True	H	Success_Characterized	B6EQB6		B6EQB6	
A0A7D5JVI4	AA10	IPR003610; IPR004302; IPR014756; IPR036573; IPR041029; IPR051024; PF03067; PF18416; cd12215	Unknown	Pseudoalteromonas sp. CF6-2	1.14.99.53	29	None	30	227	PFAM:PF03067	Chitin-binding domain of chitinase C [CDD:cd12215] (444-484); Chitin-binding domain of chitinase C [CDD:cd12215] (492-531)	True	H	Success_Characterized	A0A7D5JVI4		A0A7D5JVI4	
