pilot_rank	uniprot_id	family	protein_name	organism	ec_numbers	regio	ligand_category	oligo_active_classes	oligo_active_substrates	has_cbm	binding_modules	pilot_kjoring	run_domain_only	run_full_length	rationale
1	A0A0S2GKZ1	AA9	monooxygenase A	Panus similis	1.14.99.54; 1.14.99.56	C1+C4	cellulose	xylo_oligosaccharide	Cell; Cell4; Xyl6 / xylohexaose	Nei	None	Kun katalytisk domene	true	false	C1+C4 celle/xylo-dekning.
2	A0A223GEC9	AA9	monooxygenase A	Collariella virescens	1.14.99.54; 1.14.99.56	C1+C4	cellulose	cello_oligosaccharide	context	Nei	None	Kun katalytisk domene	true	false	C1+C4 cellulose-dekning.
3	B2ADG1	AA9	monooxygenase H	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	1.14.99.54; 1.14.99.56	C1+C4	cellulose	cello_oligosaccharide	cellohexaose	Ja	Fungal cellulose binding domain [PFAM:PF00734] (276-303)	Katalytisk + full-lengde	true	true	Lengde-cellulose-representant.
4	G2Q7A5	AA9	lytic cellulose monooxygenase (C4-dehydrogenating)	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.56	C4	cellulose	cello_oligosaccharide	cellopentaose; cellohexaose	Nei	None	Kun katalytisk domene	true	false	AA9 C4, aktiv pa cello-oligosakkarider; dekker ren C4 i AA9.
5	Q7SHI8	AA9	monooxygenase C	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.56	C4	cellulose	cello_oligosaccharide	cellotetraose and longer	Ja	Fungal cellulose binding domain [PFAM:PF00734] (327-354)	Kun katalytisk domene	true	false	AA9 C4, aktiv pa cello-oligosakkarider og har CBM; kjores katalytisk i pilot.
6	Q2SNS3	AA10	Unknown	Hahella chejuensis (strain KCTC 2396)	1.14.99.54	C1	cellulose	cello_oligosaccharide	cellotetraose; cellopentaose; cellohexaose	Ja	Cellulose binding domain [PFAM:PF00553] (449-553)	Kun katalytisk domene	true	false	AA10 cellulose C1, gir ekstra oligo-dekning.
7	B6EQJ6	AA10	Unknown	Aliivibrio salmonicida (strain LFI1238)	1.14.99.53	C1	chitin			Ja	Chitin-binding domain of chitinase C [CDD:cd12215] (353-395)	Katalytisk + full-lengde	true	true	AA10 chitin C1 med CBM; valgt som full-lengde chitin-representant.
8	D5UGA8	AA10	Unknown	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	1.14.99.54; 1.14.99.56	C1+C4	cellulose			Ja	Cellulose binding domain [PFAM:PF00553] (275-356)	Kun katalytisk domene	true	false	AA9/AA10-fordeling og sterkere AA10-regio-dekning. Kjores katalytisk.
9	D6Y7U3	AA10	Unknown	Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51)	1.14.99.54; 1.14.99.56	C1+C4	cellulose			Ja	Cellulose binding domain [PFAM:PF00553] (276-369)	Kun katalytisk domene	true	false	AA9/AA10-fordeling og for a ha to uavhengige AA10 C1+C4-representanter.
10	B0XZD3	AA11	monooxygenase A	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	1.14.99.53	C1	chitin			Nei	None	Kun katalytisk domene	true	false	Overskrider familiekravet; tas med som AA11 chitin-kandidat.
11	Q5B1W7	AA13	monooxygenase aasA	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	1.14.99.55	C1	starch			Ja	CBM20_glucoamylase [CDD:cd05811] (278-384)	Katalytisk + full-lengde	true	true	AA13 starch C1 med CBM20; valgt som full-lengde starch-representant.
12	A0A7H8R162	AA14	monooxygenase A	Talaromyces rugulosus	1.14.99.54	C1	cellulose			Nei	None	Kun katalytisk domene	true	false	AA14 cellulose/hemicellulose C1; en representant fra AA14.
13	A0A2N8U5K6	AA15	Unknown	Thermobia domestica	1.14.99.53; 1.14.99.54	C1	chitin+cellulose			Nei	None	Kun katalytisk domene	true	false	AA15-representant; beholdes som katalytisk kandidat.
14	A0A1L9X7U6	AA16	protein	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	1.14.99.54	C1	cellulose	cello_oligosaccharide	cellohexaose	Nei	None	Kun katalytisk domene	true	false	AA16-kandidat.
15	D0N2F7	AA17	Mucin-like protein	Phytophthora infestans (strain T30-4)	1.14.99.-	unknown	other/unknown	pectin_derived_oligosaccharide	oligogalacturonides	Nei	None	Kun katalytisk domene	true	false	Valgt AA17 pga. oligo + strukturdata.
