Family;Uniprot_ID;EC#;PDB;Carbohydrate_Ligands;DP;Resolution;Oligo_Activity;Comment
AA9;A0A223GEC9;1.14.99.54 1.14.99.56;6YDC[A,B,C,D];CEL;6;2.00;True;
AA9;Q4WP32;1.14.99.54 1.14.99.56;6HAQ[A,B];;;1.37;Unknown;
AA9;M2RAI8;1.14.99.54;7EXK[A,B,C,D,E,F];;;2.14;Unknown;
AA9;W4KMP1;1.14.99.54;5NNS[A,B];;;2.10;Unknown;
AA9;A0A0S2GKZ1;1.14.99.54 1.14.99.56;5ACI[A];CEL;6;1.75;True;
AA9;A0A0S2GKZ1;1.14.99.54 1.14.99.56;7PXW[A];CEL;4;1.40;True;
AA9;Q1K8B6 Q8WZQ2;1.14.99.56;4EIR[A,B];;;1.10;False;
AA9;Q1K4Q1 Q873G1;1.14.99.54;4QI8[A,B];;;1.10;Unknown;
AA9;Q7SA19;1.14.99.54 1.14.99.56;4EIS[A,B];;;1.37;Unknown;
AA9;Q7SHI8;1.14.99.56;4D7U[A,B];;;1.56;True;
AA9;Q7S439;1.14.99.56;5FOH[A];;;1.60;Unknown;
AA9;H1AE14;1.14.99.54;4B5Q[A,B];;;1.75;Unknown;
AA9;G3XAP7;1.14.99.54;3ZUD[A];;;1.25;Unknown;
AA9;G2Q7A5;1.14.99.56;9BJQ[A,B];;;1.80;True;
AA9;G2Q9F7;1.14.99.56;9FDL[A,B,C];;;2.33;True;
AA9;G2QAB5;1.14.99.54;5UFV[A,B,C,D,E,F];;;2.45;Unknown;
AA9;D0VWZ9 G2RGE5;1.14.99.54;3EJA[A,B,C,D];;;1.90;Unknown;
AA9;G0R6T8 O14405;1.14.99.54 1.14.99.56;5O2X[A];;;0.95;False;Ikke for DP5-6 (2017), men for DP3 (2002), men lite
AA10;B6EQJ6;1.14.99.53;7OKR[A];;;;Unknown;Resolution missing
AA10;A0A9P1NI18 E1UUV3;1.14.99.53;2YOY[A,B];;;1.70;Unknown;
AA10;D0EW67 Q62YN7 Q65N87;1.14.99.53;6TWE[A];;;NMR;Unknown;
AA10;A0A0C5K362 A0A0F6FRT6;1.14.99.53;5WSZ[A,B,C,D];;;2.57;Unknown;
AA10;B3PJ79;1.14.99.53;5FJQ[A,B,C];;;1.85;False;
AA10;B3PDT6;1.14.99.54;9I1U[A,B,C,D,E,F,G,H];;;1.90;Unknown;
AA10;Q838S1;1.14.99.53;4A02[A];;;0.95;Unknown;
AA10;C7R4I0;1.14.99.53;5VG0[A,B];;;1.10;Unknown;
AA10;A0A285DJD7 A0A329CVF1 A0A4P7DN87 A0A8D3WFW9;1.14.99.53 1.14.99.54 1.14.99.56 1.14.99.-;6NDQ[A,B];;;1.60;Unknown;Ikke aktiv på cello-oligo, men usikker på de andre
AA10;Q7N4I5;1.14.99.53;6T5Z[A,B,C];;;1.60;Unknown;
AA10;Q02I11 Q9I589;1.14.99.53;8C5N[A];;;0.75;Unknown;
AA10;O83009 P9WEM3;1.14.99.53;8RRY[A,B];;;1.46;Unknown;
AA10;Q9S296;1.14.99.53;7ZJB[A];;;1.37;False;forsøkt
AA10;Q9RJC1;1.14.99.54 1.14.99.56;4OY6[A];;;1.29;False;Not to a significant extent
AA10;Q9RJY2 V5N5H9;1.14.99.54;4OY7[A,B,C,D,E,F,G,H];;;1.50;Unknown;
AA10;A0A7U9DRA2 D6EWM4;1.14.99.53;5FTZ[A];;;1.38;Unknown;
AA10;C5BKQ9;1.14.99.54 1.14.99.56;6RW7[A];;;1.40;Unknown;
AA10;Q47QG3;1.14.99.54 1.14.99.56;5UIZ[A,B];;;2.00;Unknown;
AA10;A7N3J0;1.14.99.53;8GUM[A,B];;;2.35;Unknown;
AA10;A6XA54 A9Y370 Q9KLD5;1.14.99.53;8CC3[A,B];;;1.13;False;Binder til chitin oligo, ikke aktivitet
AA10;W5QLL4;1.14.99.53;6IF7[A];;;2.20;Unknown;
AA10;O70709;1.14.99.53;4YN1[A];;;1.90;Unknown;Virus med Uniprot
AA11;B0XZD3;1.14.99.53;7P3U[A];;;1.50;Unknown;
AA11;Q2UA85;1.14.99.53;4MAI[A];;;1.40;Unknown;
AA13;Q2U8Y3;1.14.99.55;5T7N[A];GLC;4;1.60;Unknown;Starch product, but the first suger is 1-6 binding. Alternativt bruke 5T7K[A], 1.30
AA14;A0A2I6QB00;1.14.99.-;5NO7[A,B];β-D-Manp;1;3.01;Unknown;
AA15;A0A2N8U5K6 A0A2R2JFH0;1.14.99.53 1.14.99.54;5MSZ[A];;;1.10;Unknown;
AA17;D0N2F7;1.14.99.-;6Z5Y[A,B];;;1.01;True;
AA17;G4YSM7;1.14.99.-;8S71[A,B];;;2.05;Unknown;
AA17;G4YSM3;1.14.99.-;8S6S[A,B];;;1.79;Unknown;
